Date,Open,High,Low,Close,Volume
10/08/2024,"625.30","646.10","613.75","640.65","218,275"
10/07/2024,"641.05","645.00","614.00","625.30","264,421"
10/04/2024,"635.05","647.80","635.00","642.00","395,310"
10/03/2024,"648.95","652.35","631.20","645.50","498,668"
10/01/2024,"653.25","660.60","651.80","653.40","103,359"
09/30/2024,"654.30","662.35","648.50","656.05","303,076"
09/27/2024,"664.20","674.00","647.00","654.30","308,349"
09/26/2024,"666.15","668.55","660.00","665.40","71,695"
09/25/2024,"668.05","676.80","660.70","667.30","272,607"
09/24/2024,"671.75","680.00","667.25","676.05","186,002"
09/23/2024,"665.30","674.50","661.00","671.75","226,592"
09/20/2024,"652.40","669.95","648.65","665.10","383,739"
09/19/2024,"656.95","658.25","637.05","649.80","197,030"
09/18/2024,"664.95","668.10","650.00","651.30","159,187"
09/17/2024,"666.00","673.95","652.30","666.20","549,851"
09/16/2024,"660.95","681.30","650.15","666.00","1,749,076"
09/13/2024,"647.65","647.65","630.45","633.55","447,056"
09/12/2024,"635.70","654.60","623.25","651.35","364,898"
09/11/2024,"637.00","640.00","625.00","626.80","282,047"
09/10/2024,"641.35","645.95","633.75","637.20","384,607"
09/09/2024,"638.70","644.75","621.20","635.50","759,378"
